# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 11 12:33:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag
Kepler-418 c,Kepler-418,1,1,2,Transit,2021,12.21829987,,5.221,0.466,,,,,,,,5822.00,1.08,0.96,-0.060,[Fe/H],4.35,,19h37m44.05s,294.4335228,+38d21m19.70s,38.3554729,1002.5300000,16.0980000,14.8240000
Kepler-419 b,Kepler-419,1,1,2,Transit,2014,69.75460000,0.370000,10.800,0.960,794.50000,2.50000,Mass,0.833000,,,,6430.00,1.74,1.39,0.176,[Fe/H],4.10,,19h41m40.30s,295.4179125,+51d11m05.15s,51.1847629,1011.3600000,13.4980000,13.0890000
Kepler-419 c,Kepler-419,1,1,2,Transit Timing Variations,2014,675.47000000,1.680000,,,2320.10000,7.30000,Mass,0.184000,,,,6430.00,1.74,1.39,0.176,[Fe/H],4.10,,19h41m40.30s,295.4179125,+51d11m05.15s,51.1847629,1011.3600000,13.4980000,13.0890000
Kepler-42 b,Kepler-42,1,1,3,Transit,2011,1.21376720,0.011600,0.780,0.070,,,,,,519,M,3068.00,0.17,0.13,-0.330,[M/H],,4.500,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,18.1210000,16.7000000
Kepler-42 c,Kepler-42,1,1,3,Transit,2011,0.45328509,0.006000,0.730,0.065,,,,,,720,M,3068.00,0.17,0.13,-0.330,[M/H],,4.500,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,18.1210000,16.7000000
Kepler-42 d,Kepler-42,1,1,3,Transit,2011,1.86516900,0.015400,0.570,0.051,,,,,,450,M,3068.00,0.17,0.13,-0.330,[M/H],,4.500,19h28m52.70s,292.2196000,+44d37m02.52s,44.6173667,40.0595000,18.1210000,16.7000000
Kepler-421 b,Kepler-421,1,1,1,Transit,2014,704.19840000,1.219000,4.160,0.371,,,,0.041000,,185,G9/K0,5308.00,0.76,0.79,-0.250,[Fe/H],4.61,4.000,18h53m01.63s,283.2568116,+45d05m15.66s,45.0876823,348.5580000,14.2890000,13.6110000
Kepler-422 b,Kepler-422,1,1,1,Transit,2014,7.89144830,0.082000,12.890,1.150,136.66000,0.43000,Mass,,,,,5972.00,1.24,1.15,0.230,[Fe/H],4.31,,18h50m31.11s,282.6296334,+46d19m23.81s,46.3232807,722.7950000,14.6430000,13.5240000
Kepler-423 b,Kepler-423,1,1,1,Transit,2014,2.68432850,0.035850,13.361,1.192,189.10100,0.59500,Mass,0.019000,,1605,G4 V,5560.00,0.95,0.85,-0.100,[M/H],4.41,11.000,19h31m25.37s,292.8557189,+46d23m28.28s,46.3911883,758.7530000,15.2050000,14.4620000
Kepler-424 b,Kepler-424,1,1,2,Transit,2014,3.31186440,0.044000,9.980,0.890,327.35000,1.03000,Mass,,,,,5460.00,0.94,1.01,0.440,[Fe/H],4.50,,19h54m30.00s,298.6249797,+48d34m38.82s,48.5774500,698.6460000,15.3260000,14.4290000
Kepler-424 c,Kepler-424,1,1,2,Radial Velocity,2014,223.30000000,0.730000,,,2215.18000,6.97000,Msini,,,,,5460.00,0.94,1.01,0.440,[Fe/H],4.50,,19h54m30.00s,298.6249797,+48d34m38.82s,48.5774500,698.6460000,15.3260000,14.4290000
Kepler-425 b,Kepler-425,1,1,1,Transit,2014,3.79701816,0.046400,10.962,0.978,79.45000,0.25000,Mass,0.330000,,1070,K1 V,5170.00,0.86,0.93,0.240,[Fe/H],4.54,5.000,19h21m25.91s,290.3579781,+40d34m03.71s,40.5676965,646.6470000,16.0470000,14.8450000
Kepler-426 b,Kepler-426,1,1,1,Transit,2014,3.21751883,0.041400,12.220,1.090,108.06000,0.34000,Mass,0.180000,,1300,G1 V,5725.00,0.92,0.91,-0.210,[Fe/H],4.47,6.000,19h17m44.32s,289.4346668,+49d28m24.44s,49.4734550,843.6950000,15.7360000,15.0320000
Kepler-427 b,Kepler-427,1,1,1,Transit,2014,10.29099400,0.091000,13.790,1.230,92.17000,0.29000,Mass,0.570000,,1100,G2 V,5800.00,1.35,0.96,-0.190,[Fe/H],4.14,7.000,19h13m01.10s,288.2545808,+43d42m17.42s,43.7048379,1017.8000000,15.1300000,14.3010000
Kepler-428 b,Kepler-428,1,1,1,Transit,2014,3.52563254,0.043300,12.110,1.080,403.63000,1.27000,Mass,0.220000,,1070,K1 V,5150.00,0.80,0.87,0.090,[Fe/H],4.57,5.000,19h22m19.62s,290.5817432,+40d34m38.32s,40.5773106,686.2840000,16.5840000,15.3620000
Kepler-43 b,Kepler-43,1,1,1,Transit,2011,3.02409490,0.046000,13.664,1.219,1026.59090,3.23000,Mass,,,1620,,6041.00,1.42,1.32,0.330,[Fe/H],4.26,,19h00m57.80s,285.2408288,+46d40m05.67s,46.6682411,1005.8400000,14.7030000,13.9860000
Kepler-430 b,Kepler-430,1,1,2,Transit,2015,35.96800000,0.224400,3.250,0.290,,,,,,667,,5884.00,1.49,1.17,0.200,[Fe/H],4.15,,19h31m14.06s,292.8085984,+49d34m45.93s,49.5794242,917.4770000,14.6360000,13.9080000
Kepler-430 c,Kepler-430,1,1,2,Transit,2015,110.97900000,0.475700,1.750,0.160,,,,,,458,,5884.00,1.49,1.17,0.200,[Fe/H],4.15,,19h31m14.06s,292.8085984,+49d34m45.93s,49.5794242,917.4770000,14.6360000,13.9080000
Kepler-431 b,Kepler-431,1,1,3,Transit,2015,6.80300000,0.071900,0.764,0.068,,,,,,1032,,6004.00,1.09,1.07,0.070,[Fe/H],4.40,,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,12.8500000,12.1390000
Kepler-431 c,Kepler-431,1,1,3,Transit,2015,8.70300000,0.084700,0.668,0.060,,,,,,951,,6004.00,1.09,1.07,0.070,[Fe/H],4.40,,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,12.8500000,12.1390000
Kepler-431 d,Kepler-431,1,1,3,Transit,2015,11.92200000,0.104500,1.110,0.100,,,,,,856,,6004.00,1.09,1.07,0.070,[Fe/H],4.40,,18h44m26.95s,281.1123072,+43d13m39.96s,43.2277663,486.5460000,12.8500000,12.1390000
Kepler-432 b,Kepler-432,1,2,2,Transit,2015,52.50112900,0.301000,12.834,1.145,1719.46030,5.41000,Mass,0.513400,,,,4995.00,4.06,1.32,-0.070,[m/H],3.35,4.200,19h33m07.74s,293.2822344,+48d17m09.30s,48.2859173,848.0230000,13.4850000,12.3980000
Kepler-432 c,Kepler-432,1,2,2,Radial Velocity,2015,406.20000000,,,,772.32690,2.43000,Msini,0.498000,,,,4995.00,4.06,1.32,-0.070,[m/H],3.35,4.200,19h33m07.74s,293.2822344,+48d17m09.30s,48.2859173,848.0230000,13.4850000,12.3980000
Kepler-433 b,Kepler-433,1,1,1,Transit,2015,5.33408384,0.067900,16.250,1.450,896.24000,2.82000,Mass,0.119000,,1776,,6360.00,2.26,1.46,-0.010,[Fe/H],3.89,2.670,19h50m22.47s,297.5936232,+40d58m38.12s,40.9772546,1878.3100000,15.3730000,14.7170000
Kepler-434 b,Kepler-434,1,1,1,Transit,2015,12.87470990,0.114300,12.670,1.130,908.96000,2.86000,Mass,0.131000,,1000,,5977.00,1.38,1.20,0.250,[Fe/H],4.24,4.000,19h34m20.73s,293.5863887,+42d55m43.90s,42.9288624,1222.5400000,15.2290000,14.4900000
Kepler-435 b,Kepler-435,1,1,1,Transit,2015,8.60015360,0.094800,22.310,1.990,266.97000,0.84000,Mass,0.114000,,1729,,6161.00,3.21,1.54,-0.180,[Fe/H],3.61,2.250,19h29m08.95s,292.2873012,+43d11m50.12s,43.1972542,1418.7700000,14.2280000,13.7040000
Kepler-436 b,Kepler-436,1,1,2,Transit,2015,64.00205000,0.339000,2.730,0.240,,,,0.190000,1.69,,,4651.00,0.70,0.73,0.010,[Fe/H],4.62,3.000,20h06m52.99s,301.7207775,+44d24m43.51s,44.4120856,588.8670000,17.4360000,15.9710000
Kepler-436 c,Kepler-436,1,1,2,Transit,2016,16.79713874,,2.330,0.208,,,,,,,,4685.00,0.71,0.75,0.020,[Fe/H],4.62,4.070,20h06m52.99s,301.7207775,+44d24m43.51s,44.4120856,588.8670000,17.4360000,15.9710000
Kepler-437 b,Kepler-437,1,1,1,Transit,2015,66.65062000,0.288000,2.140,0.190,,,,0.020000,2.15,,,4551.00,0.68,0.71,0.000,[Fe/H],4.63,2.900,19h49m23.36s,297.3473326,+44d01m36.93s,44.0269249,,16.1660000,14.6280000
Kepler-438 b,Kepler-438,1,1,1,Transit,2015,35.23319000,0.166000,1.120,0.100,,,,0.030000,1.40,,,3748.00,0.52,0.54,0.160,[Fe/H],4.74,4.400,18h46m34.97s,281.6457236,+41d57m03.85s,41.9510686,,16.5980000,15.1040000
Kepler-439 b,Kepler-439,1,1,1,Transit,2015,178.13960000,0.563000,2.240,0.200,,,,0.030000,1.83,,,5431.00,0.87,0.88,0.020,[Fe/H],4.51,7.200,18h43m12.36s,280.8015188,+44d02m02.30s,44.0339733,757.0480000,15.5350000,14.6540000
Kepler-44 b,Kepler-44,1,1,1,Transit,2011,3.24672930,0.044600,12.220,1.090,317.82000,1.00000,Mass,0.066000,,1544,G2 IV,5800.00,1.35,1.12,0.150,[Fe/H],4.22,5.800,20h00m24.56s,300.1023512,+45d45m43.89s,45.7621918,1188.0000000,14.9240000,14.8030000
Kepler-440 b,Kepler-440,1,1,1,Transit,2015,101.11141000,0.242000,1.860,0.170,,,,0.340000,1.20,,,4134.00,0.56,0.57,-0.300,[Fe/H],4.71,1.300,19h01m24.02s,285.3500664,+41d27m08.53s,41.4523695,301.0300000,17.3940000,15.6370000
Kepler-441 b,Kepler-441,1,1,1,Transit,2015,207.24820000,0.640000,1.640,0.150,,,,0.100000,0.21,,,4340.00,0.55,0.57,-0.570,[Fe/H],4.71,1.900,18h58m16.07s,284.5669540,+49d00m45.75s,49.0127077,268.0030000,17.3790000,15.5670000
Kepler-442 b,Kepler-442,1,1,1,Transit,2015,112.30530000,0.409000,1.340,0.120,,,,0.040000,0.66,,,4402.00,0.60,0.61,-0.370,[Fe/H],4.67,2.900,19h01m27.98s,285.3666029,+39d16m48.25s,39.2800704,365.9650000,16.7530000,15.3220000
Kepler-443 b,Kepler-443,1,1,1,Transit,2015,177.66930000,0.495000,2.330,0.210,,,,0.110000,0.86,,,4723.00,0.71,0.74,-0.010,[Fe/H],4.61,3.200,19h14m26.52s,288.6104839,+49d58m06.76s,49.9685458,802.2710000,18.0850000,16.2070000
Kepler-444 b,Kepler-444,1,3,5,Transit,2015,3.60010530,0.041780,0.403,0.036,,,,0.160000,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],4.56,11.230,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,9.6850000,8.8700000
Kepler-444 c,Kepler-444,1,3,5,Transit,2015,4.54588410,0.048810,0.497,0.044,,,,0.310000,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],4.56,11.230,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,9.6850000,8.8700000
Kepler-444 d,Kepler-444,1,3,5,Transit,2015,6.18939200,0.060000,0.530,0.047,,,,0.180000,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],4.56,11.230,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,9.6850000,8.8700000
Kepler-444 e,Kepler-444,1,3,5,Transit,2015,7.74349300,0.069600,0.546,0.049,,,,0.100000,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],4.56,11.230,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,9.6850000,8.8700000
Kepler-444 f,Kepler-444,1,3,5,Transit,2015,9.74048600,0.081100,0.741,0.066,,,,0.290000,,,K,5046.00,0.75,0.76,-0.550,[Fe/H],4.56,11.230,19h19m00.68s,289.7528323,+41d37m54.78s,41.6318840,36.4396000,9.6850000,8.8700000
Kepler-445 b,Kepler-445,1,1,3,Transit,2015,2.98415100,,1.580,0.140,,,,0.000000,,,M4,3157.00,0.21,0.18,0.270,[Fe/H],,,19h54m56.72s,298.7363395,+46d29m56.84s,46.4991236,127.2010000,,18.1900000
Kepler-445 c,Kepler-445,1,1,3,Transit,2015,4.87122900,,2.510,0.220,,,,0.000000,,,M4,3157.00,0.21,0.18,0.270,[Fe/H],,,19h54m56.72s,298.7363395,+46d29m56.84s,46.4991236,127.2010000,,18.1900000
Kepler-445 d,Kepler-445,1,1,3,Transit,2015,8.15275000,,1.250,0.110,,,,0.000000,,,M4,3157.00,0.21,0.18,0.270,[Fe/H],,,19h54m56.72s,298.7363395,+46d29m56.84s,46.4991236,127.2010000,,18.1900000
Kepler-446 b,Kepler-446,1,1,3,Transit,2015,1.56540900,,1.500,0.130,,,,0.000000,,,M4,3359.00,0.24,0.22,-0.300,[Fe/H],,,18h49m00.03s,282.2501047,+44d55m15.61s,44.9210020,96.3390000,19.3400000,17.5041000
Kepler-446 c,Kepler-446,1,1,3,Transit,2015,3.03617900,,1.110,0.100,,,,0.000000,,,M4,3359.00,0.24,0.22,-0.300,[Fe/H],,,18h49m00.03s,282.2501047,+44d55m15.61s,44.9210020,96.3390000,19.3400000,17.5041000
Kepler-446 d,Kepler-446,1,1,3,Transit,2015,5.14892100,,1.350,0.120,,,,0.000000,,,M4,3359.00,0.24,0.22,-0.300,[Fe/H],,,18h49m00.03s,282.2501047,+44d55m15.61s,44.9210020,96.3390000,19.3400000,17.5041000
Kepler-447 b,Kepler-447,1,1,1,Transit,2015,7.79430132,0.076900,18.490,1.650,435.41000,1.37000,Mass,0.123000,,,G8 V,5493.00,1.05,1.00,0.070,[Fe/H],4.40,,19h01m04.45s,285.2685283,+48d33m35.58s,48.5598835,268.0410000,13.7950000,12.5200000
Kepler-448 c,KOI-12,1,1,2,Transit Timing Variations,2017,2500.00000000,4.200000,,,6992.26000,22.00000,Mass,0.650000,,,,,1.40,1.50,,,,,19h49m48.90s,297.4537402,+41d00m39.67s,41.0110188,399.3980000,11.7310000,11.5100000
Kepler-449 b,Kepler-449,1,1,2,Transit,2015,12.58242000,,2.056,0.183,,,,0.030000,,,,5649.18,,,-0.165,[M/H],,,19h34m55.87s,293.7327870,+41d54m02.29s,41.9006366,241.9490000,12.0160000,11.4480000
Kepler-449 c,Kepler-449,1,1,2,Transit,2015,33.67270000,,2.764,0.247,,,,0.050000,,,,5649.18,,,-0.165,[M/H],,,19h34m55.87s,293.7327870,+41d54m02.29s,41.9006366,241.9490000,12.0160000,11.4480000
Kepler-45 b,Kepler-45,1,1,1,Transit,2011,2.45523900,0.030000,10.760,0.960,160.49700,0.50500,Mass,0.110000,,1000,M,3820.00,0.55,0.59,0.280,[Fe/H],4.70,0.500,19h31m29.50s,292.8729292,+41d03m51.02s,41.0641727,381.9490000,18.1950000,16.7440000
Kepler-450 b,Kepler-450,1,1,3,Transit,2015,28.45485100,,6.140,0.548,,,,0.020000,,,,6197.21,1.64,1.19,0.128,[M/H],4.08,,19h41m56.78s,295.4865821,+51d00m48.69s,51.0135237,455.9820000,11.9900000,11.9910000
Kepler-450 c,Kepler-450,1,1,3,Transit,2015,15.41313500,,2.620,0.234,,,,0.020000,,,,6197.21,1.64,1.19,0.128,[M/H],4.08,,19h41m56.78s,295.4865821,+51d00m48.69s,51.0135237,455.9820000,11.9900000,11.9910000
Kepler-450 d,Kepler-450,1,1,3,Transit,2015,7.51464000,,0.837,0.075,,,,0.140000,,,,6197.21,1.64,1.19,0.128,[M/H],4.08,,19h41m56.78s,295.4865821,+51d00m48.69s,51.0135237,455.9820000,11.9900000,11.9910000
Kepler-451 c,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,1460.00000000,,,,511.70374,1.61000,Msini,0.290000,,,,29564.00,0.20,0.48,,,5.51,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,12.1120000,12.6510000
Kepler-451 d,2MASS J19383260+4603591,1,2,3,Eclipse Timing Variations,2022,43.00000000,,,,559.37800,1.76000,Msini,0.000000,,,,29564.00,0.20,0.48,,,5.51,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,12.1120000,12.6510000
Kepler-452 b,Kepler-452,1,1,1,Transit,2015,384.84300000,1.046000,1.630,0.145,,,,,1.10,265,G2,5757.00,1.11,1.04,0.210,[Fe/H],4.32,6.000,19h44m00.90s,296.0037520,+44d16m39.31s,44.2775861,551.7270000,14.5050000,13.5400000
Kepler-453 b,Kepler-453,1,2,1,Transit,2015,240.50300000,0.790300,6.204,0.553,16.00000,0.05034,Mass,0.035900,,,,5527.00,0.83,0.94,0.090,[m/H],4.57,2.490,18h52m57.92s,283.2413322,+46d22m42.49s,46.3784691,442.8460000,14.8870000,13.6720000
Kepler-454 b,Kepler-454,1,2,3,Transit,2015,10.57375340,0.095280,2.370,0.211,5.40000,0.01699,Mass,0.320000,117.70,916,,5687.00,1.07,1.03,0.320,[Fe/H],,5.250,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,12.3820000,11.5670000
Kepler-454 c,Kepler-454,1,2,3,Radial Velocity,2015,524.19000000,1.287000,,,1433.40612,4.51000,Msini,0.005300,,,,5687.00,1.07,1.03,0.320,[Fe/H],,5.250,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,12.3820000,11.5670000
Kepler-454 d,Kepler-454,1,2,3,Radial Velocity,2023,4073.00000000,5.100000,,,734.18362,2.31000,Msini,0.089000,,,,5687.00,1.07,1.03,0.320,[Fe/H],,5.250,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.8690000,12.3820000,11.5670000
Kepler-457 d,KOI-7892,1,1,3,Transit,2021,10.69060040,,2.985,0.266,,,,,,,,6474.00,1.24,1.15,-0.160,[Fe/H],4.31,,18h49m30.61s,282.3775397,+44d41m40.45s,44.6945690,1072.3000000,15.0610000,14.4110000
Kepler-458 c,KIC 9663113,1,1,2,Transit,2016,20.74028413,,4.200,0.375,,,,,,,,6117.21,2.22,1.15,0.144,[M/H],3.81,,19h48m10.90s,297.0454037,+46d19m43.20s,46.3286653,1594.7400000,14.7750000,14.0270000
Kepler-46 b,Kepler-46,1,1,3,Transit,2012,33.60134000,0.196800,9.057,0.808,1907.00000,6.00000,Mass,0.010000,,543,,5155.00,0.94,0.90,0.410,[M/H],4.45,9.700,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,16.2350000,15.3120000
Kepler-46 c,Kepler-46,1,1,3,Transit Timing Variations,2012,57.01100000,0.279900,,,119.49900,0.37600,Mass,0.014600,,455,,5155.00,0.94,0.90,0.410,[M/H],4.45,9.700,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,16.2350000,15.3120000
Kepler-46 d,Kepler-46,1,1,3,Transit,2014,6.76658900,0.067000,1.640,0.146,,,,,,,,5309.00,0.79,,,,4.58,,19h17m04.50s,289.2687388,+42d36m15.05s,42.6041819,777.0600000,16.2350000,15.3120000
Kepler-460 c,KIC 5437945,1,1,2,Transit,2016,220.13033570,,5.520,0.492,,,,,,,,6146.00,1.26,1.17,0.060,[Fe/H],4.30,3.160,19h13m53.98s,288.4749028,+40d39m04.63s,40.6512848,1274.0100000,14.4680000,13.8340000
Kepler-461 b,Kepler-461,1,1,1,Transit,2016,8.31378306,,2.580,0.230,,,,,,,,5634.00,0.91,0.98,0.040,[Fe/H],4.51,2.510,19h28m59.77s,292.2490563,+46d09m53.25s,46.1647909,692.1580000,14.2490000,13.4570000
Kepler-462 b,Kepler-462,1,1,2,Transit,2016,84.68660000,,3.000,0.268,53.90000,0.16959,Mass,0.042000,,,,7500.00,1.57,1.59,0.050,[Fe/H],4.22,0.500,19h59m17.08s,299.8211502,+43d48m51.41s,43.8142793,596.6250000,11.9480000,11.6320000
Kepler-462 c,Kepler-462,1,1,2,Transit,2020,207.62000000,,4.000,0.357,6.00000,0.01888,Mass,0.110000,,,,7500.00,1.57,1.59,0.050,[Fe/H],4.22,0.500,19h59m17.08s,299.8211502,+43d48m51.41s,43.8142793,596.6250000,11.9480000,11.6320000
Kepler-463 b,Kepler-463,1,1,1,Transit,2016,8.98101683,,3.050,0.272,,,,,,,,5661.00,0.90,0.87,-0.280,[Fe/H],4.47,7.410,19h55m44.84s,298.9368228,+44d51m28.31s,44.8578644,394.8040000,13.8340000,12.9990000
Kepler-464 b,Kepler-464,1,1,1,Transit,2016,7.25696522,,3.300,0.294,,,,,,,,5933.00,1.59,1.21,0.190,[Fe/H],4.11,4.900,19h39m20.43s,294.8351052,+48d58m56.35s,48.9823204,667.6040000,13.5140000,12.7500000
Kepler-465 b,Kepler-465,1,1,1,Transit,2016,9.94067247,,2.950,0.263,,,,,,,,6310.00,1.29,1.23,0.090,[Fe/H],4.31,2.190,18h58m13.39s,284.5557853,+46d03m49.99s,46.0638865,553.0770000,13.3360000,12.6510000
Kepler-466 b,Kepler-466,1,1,2,Transit,2016,51.07926307,,2.850,0.254,,,,,,,,5927.00,1.05,1.04,-0.010,[Fe/H],4.42,3.470,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,13.6200000,12.7990000
Kepler-466 c,Kepler-466,1,1,2,Transit,2016,3.70921385,,1.250,0.112,,,,,,,,5927.00,1.05,1.04,-0.010,[Fe/H],4.42,3.470,19h42m35.68s,295.6486585,+48d29m43.87s,48.4955191,530.1220000,13.6200000,12.7990000
Kepler-467 b,Kepler-467,1,1,1,Transit,2016,24.99324193,,2.250,0.201,,,,,,,,5809.00,1.37,1.05,0.060,[Fe/H],4.18,8.130,19h09m27.10s,287.3629145,+38d38m59.04s,38.6497341,466.2650000,13.3290000,12.4280000
Kepler-468 b,Kepler-468,1,1,1,Transit,2016,38.47875707,,13.340,1.190,,,,,,,,5498.00,0.87,0.96,0.100,[Fe/H],4.54,2.000,19h15m36.55s,288.9022829,+49d22m13.47s,49.3704079,442.8710000,14.7980000,13.8520000
Kepler-47 b,Kepler-47,1,2,3,Transit,2012,49.46430000,0.287700,3.050,0.272,2.07000,0.00651,Mass,0.021000,,,,,0.94,0.96,,,,,19h41m11.49s,295.2978883,+46d55m13.55s,46.9204303,1025.0200000,16.2330000,15.3100000
Kepler-47 c,Kepler-47,1,2,3,Transit,2012,303.22700000,0.963800,4.650,0.415,3.17000,0.00997,Mass,0.044000,,,,,0.94,0.96,,,,,19h41m11.49s,295.2978883,+46d55m13.55s,46.9204303,1025.0200000,16.2330000,15.3100000
Kepler-47 d,Kepler-47,1,2,3,Transit,2019,187.36600000,0.699200,7.040,0.628,19.02000,0.05984,Mass,0.024000,,,,,0.94,0.96,,,,,19h41m11.49s,295.2978883,+46d55m13.55s,46.9204303,1025.0200000,16.2330000,15.3100000
Kepler-470 b,Kepler-470,1,1,1,Transit,2016,24.66919569,,14.440,1.288,,,,,,,,6613.00,1.66,1.40,0.040,[Fe/H],4.14,1.860,19h48m02.26s,297.0094360,+50d22m20.22s,50.3722829,929.8110000,13.8050000,13.2820000
Kepler-471 b,Kepler-471,1,1,1,Transit,2016,5.01423457,,14.960,1.335,,,,,,,,6733.00,1.80,1.49,0.070,[Fe/H],4.10,1.580,19h56m23.40s,299.0975167,+43d29m51.31s,43.4975851,1249.4100000,14.5380000,13.7670000
Kepler-472 b,Kepler-472,1,1,1,Transit,2016,4.17625551,,3.220,0.287,,,,,,,,4996.00,0.78,0.85,0.160,[Fe/H],4.59,2.690,19h46m05.88s,296.5245187,+39d14m59.46s,39.2498503,306.6020000,15.4270000,13.8980000
Kepler-473 b,Kepler-473,1,1,1,Transit,2016,14.55731705,,4.080,0.364,,,,,,,,5816.00,1.34,1.06,0.120,[Fe/H],4.21,6.920,19h06m31.22s,286.6300796,+38d56m44.13s,38.9455907,905.9370000,14.8130000,13.5480000
Kepler-474 b,Kepler-474,1,1,1,Transit,2016,5.66067294,,3.060,0.273,,,,,,,,5785.00,1.08,0.99,-0.010,[Fe/H],4.36,6.760,19h29m17.16s,292.3215174,+43d52m52.22s,43.8811723,841.4960000,14.3980000,13.6290000
Kepler-475 b,Kepler-475,1,1,1,Transit,2016,3.10550819,,2.490,0.222,,,,,,,,5009.00,0.79,0.86,0.210,[Fe/H],4.58,2.690,19h08m12.41s,287.0516940,+40d12m41.12s,40.2114232,280.0690000,15.2350000,13.5120000
Kepler-476 b,Kepler-476,1,1,1,Transit,2016,14.00640607,,3.080,0.275,,,,,,,,5837.00,1.09,1.03,0.040,[Fe/H],4.38,5.370,19h40m39.30s,295.1637592,+43d57m47.06s,43.9630716,813.5350000,14.9510000,14.0180000
Kepler-477 b,Kepler-477,1,2,1,Transit,2016,11.11990653,,2.070,0.185,,,,,,,,5240.00,0.79,0.87,-0.040,[Fe/H],4.58,2.090,19h12m16.19s,288.0674450,+42d21m19.10s,42.3553050,,14.5260000,13.8350000
Kepler-478 b,Kepler-478,1,1,1,Transit,2016,13.22175760,,2.710,0.242,,,,,,,,5210.00,0.80,0.85,-0.030,[Fe/H],4.56,4.900,19h29m56.88s,292.4870063,+46d11m46.27s,46.1961870,,15.0600000,14.1560000
Kepler-479 b,Kepler-479,1,1,1,Transit,2016,12.49341307,,2.120,0.189,,,,,,,,5247.00,0.81,0.86,-0.020,[Fe/H],4.56,4.270,19h24m05.25s,291.0218899,+37d46m11.54s,37.7698734,344.9010000,15.1510000,13.7240000
Kepler-48 b,Kepler-48,1,1,4,Transit,2012,4.77800000,,1.880,0.168,3.94000,0.01240,Mass,,,,,5194.00,0.89,0.88,0.170,[Fe/H],4.49,3.140,19h56m33.43s,299.1393094,+40d56m56.18s,40.9489390,306.7380000,14.2530000,13.1740000
